127.0.0.1 - - [27/Feb/2022:11:17:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:19 +0900] "GET /project2.1/ HTTP/1.1" 200 34301
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:19 +0900] "GET /project2.1/resources/css/trade.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:19 +0900] "GET /project2.1/resources/js/chat.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:19 +0900] "GET /project2.1/resources/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:19 +0900] "GET /project2.1/resources/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:19 +0900] "GET /project2.1/resources/js/trade.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:19 +0900] "GET /project2.1/resources/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:21 +0900] "GET /project2.1/homeItemList/product_upload/desc HTTP/1.1" 200 13104
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:21 +0900] "GET /project2.1/homeItemList/product_price/desc HTTP/1.1" 200 13104
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:21 +0900] "GET /project2.1/homeItemList/product_wish_count/desc HTTP/1.1" 200 13104
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:23 +0900] "GET /project2.1/myPage/home_myPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:23 +0900] "GET /project2.1/member/login HTTP/1.1" 200 30051
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:23 +0900] "GET /project2.1/resources/js/member.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:32 +0900] "POST /project2.1/member/login HTTP/1.1" 200 30099
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:41 +0900] "POST /project2.1/member/login HTTP/1.1" 200 30099
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:47 +0900] "POST /project2.1/member/login HTTP/1.1" 200 34917
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:48 +0900] "GET /project2.1/chat/info?self_name=%EC%A7%B8%EB%A0%B9&t=1645928268005 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:48 +0900] "GET /project2.1/homeItemList/product_upload/desc HTTP/1.1" 200 13104
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:48 +0900] "GET /project2.1/homeItemList/product_wish_count/desc HTTP/1.1" 200 13104
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:48 +0900] "GET /project2.1/homeItemList/product_price/desc HTTP/1.1" 200 13104
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:48 +0900] "GET /project2.1/chat/871/oevk5nby/websocket?self_name=%EC%A7%B8%EB%A0%B9 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:50 +0900] "GET /project2.1/myPage/home_myPage HTTP/1.1" 200 33081
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:50 +0900] "GET /project2.1/resources/js/mypage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:50 +0900] "GET /project2.1/chat/info?self_name=%EC%A7%B8%EB%A0%B9&t=1645928270082 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:50 +0900] "GET /project2.1/chat/021/52f255i4/websocket?self_name=%EC%A7%B8%EB%A0%B9 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:56 +0900] "GET /project2.1/admin/insertNotice HTTP/1.1" 200 22209
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:56 +0900] "GET /project2.1/chat/info?self_name=%EC%A7%B8%EB%A0%B9&t=1645928276155 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:56 +0900] "GET /project2.1/chat/334/qeglaief/websocket?self_name=%EC%A7%B8%EB%A0%B9 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:59 +0900] "GET /project2.1/chat/info?self_name=%EC%A7%B8%EB%A0%B9&t=1645928279476 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:17:59 +0900] "GET /project2.1/chat/745/w33ww4js/websocket?self_name=%EC%A7%B8%EB%A0%B9 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:18:12 +0900] "GET /project2.1/trade/trade?page=1 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:18:13 +0900] "GET /project2.1/chat/info?self_name=%EC%A7%B8%EB%A0%B9&t=1645928293663 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:18:13 +0900] "GET /project2.1/chat/737/cudfjsq4/websocket?self_name=%EC%A7%B8%EB%A0%B9 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:18:22 +0900] "GET /project2.1/admin/insertNotice HTTP/1.1" 200 22209
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:18:22 +0900] "GET /project2.1/chat/info?self_name=%EC%A7%B8%EB%A0%B9&t=1645928302192 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:18:22 +0900] "GET /project2.1/chat/108/x4cho4lr/websocket?self_name=%EC%A7%B8%EB%A0%B9 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:21:49 +0900] "POST /project2.1/admin/insertNotice HTTP/1.1" 200 22209
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:21:49 +0900] "GET /project2.1/chat/info?self_name=%EC%A7%B8%EB%A0%B9&t=1645928509207 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:21:49 +0900] "GET /project2.1/chat/379/lf3m4sni/websocket?self_name=%EC%A7%B8%EB%A0%B9 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:23:17 +0900] "POST /project2.1/admin/insertNotice HTTP/1.1" 200 22209
