0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:10 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835270779 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:10 +0900] "GET /project2.1/homeItemList/product_upload/desc HTTP/1.1" 200 34024
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:10 +0900] "GET /project2.1/homeItemList/product_wish_count/desc HTTP/1.1" 200 34024
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:10 +0900] "GET /project2.1/homeItemList/product_price/desc HTTP/1.1" 200 34024
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:10 +0900] "GET /project2.1/chat/975/mtqrhwln/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:13 +0900] "GET /project2.1/event/eventList?nowPage=1&cntPerPage=4 HTTP/1.1" 200 34115
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:13 +0900] "GET /project2.1/resources/js/event.js HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:13 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835273448 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:13 +0900] "GET /project2.1/chat/750/nlhltmue/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:19 +0900] "GET /project2.1/event/eventList?nowPage=5&cntPerPage=4 HTTP/1.1" 200 34105
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:20 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835280076 HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:20 +0900] "GET /project2.1/chat/492/iwu5d2d5/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:23 +0900] "GET /project2.1/event/eventList?nowPage=6&cntPerPage=4 HTTP/1.1" 200 34216
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:23 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835283518 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:23 +0900] "GET /project2.1/chat/398/0zout3mf/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:27 +0900] "GET /project2.1/event/eventList?nowPage=10&cntPerPage=4 HTTP/1.1" 200 34218
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:27 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835287219 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:27 +0900] "GET /project2.1/chat/913/cisx2xvt/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:30 +0900] "GET /project2.1/event/eventList?nowPage=11&cntPerPage=4 HTTP/1.1" 200 34217
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:30 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835290350 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:30 +0900] "GET /project2.1/chat/675/xchm4rtc/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:33 +0900] "GET /project2.1/event/eventList?nowPage=16&cntPerPage=4 HTTP/1.1" 200 34227
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:33 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835293560 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:33 +0900] "GET /project2.1/chat/972/gygwnr4h/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:36 +0900] "GET /project2.1/event/eventList?nowPage=21&cntPerPage=4 HTTP/1.1" 200 34030
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:36 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835296237 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:36 +0900] "GET /project2.1/chat/275/bdegod4x/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:53 +0900] "GET /project2.1/event/eventList?nowPage=1&cntPerPage=10 HTTP/1.1" 200 37832
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:53 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835313897 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [29/May/2022:23:41:54 +0900] "GET /project2.1/chat/733/vmwp3nbm/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:03 +0900] "GET /project2.1/event/eventList?nowPage=6&cntPerPage=10 HTTP/1.1" 200 37836
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:03 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835323742 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:03 +0900] "GET /project2.1/chat/462/magwalzn/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:11 +0900] "GET /project2.1/event/eventList?nowPage=10&cntPerPage=10 HTTP/1.1" 200 35360
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:11 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835331226 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:11 +0900] "GET /project2.1/chat/247/cbdmudka/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:15 +0900] "GET /project2.1/event/eventList?nowPage=1&cntPerPage=4 HTTP/1.1" 200 34115
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:15 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835335600 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:15 +0900] "GET /project2.1/chat/173/n1np4fsa/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:18 +0900] "GET /project2.1/event/eventList?nowPage=6&cntPerPage=4 HTTP/1.1" 200 34216
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:18 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835338121 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:18 +0900] "GET /project2.1/chat/808/11v0zt5l/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:20 +0900] "GET /project2.1/event/eventList?nowPage=11&cntPerPage=4 HTTP/1.1" 200 34217
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:20 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835340101 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:20 +0900] "GET /project2.1/chat/439/beqll22s/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:22 +0900] "GET /project2.1/event/eventList?nowPage=16&cntPerPage=4 HTTP/1.1" 200 34227
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:22 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835342195 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:22 +0900] "GET /project2.1/chat/825/padkrxgi/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:26 +0900] "GET /project2.1/event/eventList?nowPage=21&cntPerPage=4 HTTP/1.1" 200 34030
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:26 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835346061 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:26 +0900] "GET /project2.1/chat/908/tq3heh1x/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:29 +0900] "GET /project2.1/event/event_theEnd HTTP/1.1" 200 34132
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:29 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835349683 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:29 +0900] "GET /project2.1/chat/501/p2gx1k4k/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:35 +0900] "GET /project2.1/event/event_date HTTP/1.1" 200 31104
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:36 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835355996 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:36 +0900] "GET /project2.1/chat/338/0nzq2w5g/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:40 +0900] "GET /project2.1/event/eventList HTTP/1.1" 200 34114
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:40 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835360058 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [29/May/2022:23:42:40 +0900] "GET /project2.1/chat/770/ltmejgw5/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
