127.0.0.1 - - [23/Feb/2022:12:23:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:23:10 +0900] "GET /project2.1/ HTTP/1.1" 200 34278
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:23:10 +0900] "GET /project2.1/resources/css/product.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:23:10 +0900] "GET /project2.1/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:23:10 +0900] "GET /project2.1/resources/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:23:10 +0900] "GET /project2.1/resources/css/chat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:23:10 +0900] "GET /project2.1/resources/js/trade.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:23:10 +0900] "GET /project2.1/resources/css/trade.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:23:10 +0900] "GET /project2.1/resources/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:23:10 +0900] "GET /project2.1/resources/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:23:10 +0900] "GET /project2.1/resources/js/chat.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:23:11 +0900] "GET /project2.1/homeItemList/product_upload/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:23:11 +0900] "GET /project2.1/homeItemList/product_wish_count/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:23:11 +0900] "GET /project2.1/homeItemList/product_price/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:29 +0900] "GET /project2.1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:29 +0900] "GET /project2.1/ HTTP/1.1" 200 34278
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:29 +0900] "GET /project2.1/homeItemList/product_wish_count/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:29 +0900] "GET /project2.1/homeItemList/product_upload/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:29 +0900] "GET /project2.1/homeItemList/product_price/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1/ HTTP/1.1" 200 34278
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1/homeItemList/product_price/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1/homeItemList/product_upload/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1/homeItemList/product_wish_count/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1/ HTTP/1.1" 200 34278
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1/homeItemList/product_upload/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1/homeItemList/product_wish_count/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1/homeItemList/product_price/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1/ HTTP/1.1" 200 34278
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1/homeItemList/product_wish_count/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1/homeItemList/product_price/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1/homeItemList/product_upload/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1/ HTTP/1.1" 200 34278
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1/homeItemList/product_price/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1/homeItemList/product_wish_count/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1/homeItemList/product_upload/desc HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:12:28:30 +0900] "GET /project2.1/ HTTP/1.1" 200 34278
